@@,wdid,name,pid,position
---,Q12247753,Nasser Sabah Al-Ahmad Al-Sabah,Q104382486,Minister of Defense
---,Q12219691,Sabah Al-Khalid Al-Sabah,Q110525652,Minister of Foreign Affairs
---,Q12219691,Sabah Al-Khalid Al-Sabah,Q110526533,Deputy Prime Minister of Kuwait
+++,Q96202201,حمد جابر العلي الصباح,Q16257919,Ministry of Defense
+++,Q96041531,محمد الفارس (سياسي),Q17069140,Ministry of Oil
+++,Q96041531,محمد الفارس (سياسي),Q104176091,Ministry of Higher Education
+++,Q87073852,شايع عبد الرحمن الشايع,,
+++,Q87073852,شايع عبد الرحمن الشايع,Q104178419,Minister of Housing
+++,Q85848781,Mubarak Al-Harris,,
+++,Q79351786,رنا الفارس,Q22934979,Ministry of Transportation
+++,Q79351786,رنا الفارس,Q101866096,Ministry of Public Works
+++,Q54875312,عيسى الكندري,Q15835286,Kuwait Ministry of Awqaf and Islamic Affairs
+++,Q47499713,Basil Hammoud Al-Hamad Al-Sabah,Q96679148,Ministry of Health
+++,Q4665936,Abdullah Al-Roumi,Q55648354,Ministry of Justice (Kuwait)
+++,Q12219691,Sabah Al-Khalid Al-Sabah,Q2035020,list of Prime Ministers of Kuwait
+++,Q12179124,Ahmad Nasser al-Mohammed al-Sabah,,
+++,Q12179124,Ahmad Nasser al-Mohammed al-Sabah,Q16257922,Ministry of Foreign Affairs
+++,Q106427761,عبد الله السلمان (سياسي),Q17068462,Ministry of Commerce and Industry
+++,Q106087794,Dr. Meshaan M. Al-Otaibi,Q104184823,وزارة الشؤون الاجتماعية (الكويت)
+++,Q106087794,Dr. Meshaan M. Al-Otaibi,Q104178104,Ministry of Electricity and Water and Renewable Energy
+++,Q104175578,خليفة حمادة,Q15640179,Ministry of Finance (Kuwait)
+++,Q104175578,خليفة حمادة,,
+++,Q104175576,ثامر علي الصباح,Q17064142,Ministry of Interior (Kuwait)
+++,Q104175575,عبد الرحمن بداح المطيري,Q22934927,وزارة الدولة لشئون الشباب
+++,Q104175573,علي المضف,Q104176127,Ministry of Education
